,State,DC Fast Charge,Level 1,Level 2,EV Network
0,CA,2.0,,3.0,
1,CA,,1.0,2.0,
2,CA,,,161.0,
3,CA,,,4.0,
4,CA,,,2.0,ChargePoint Network
5,CA,,,4.0,
6,CA,,,14.0,ChargePoint Network
7,CA,,,2.0,
8,CA,,,2.0,
9,CA,,,2.0,
10,CA,,,2.0,
11,CA,,,6.0,
12,CA,,,8.0,
13,CA,,,2.0,
14,CA,,,3.0,
15,CA,,,2.0,
16,CA,,,,
17,CA,,,1.0,
18,CA,,4.0,,
19,CA,,,2.0,Tesla
20,CA,,,20.0,
21,CA,,,,
22,CA,,,7.0,
23,CA,,,1.0,
24,CA,,,2.0,
25,CA,,,1.0,
26,CA,,,2.0,
27,CA,,,6.0,ChargePoint Network
28,CA,,,2.0,
29,CA,,,4.0,
30,CA,,,3.0,
31,CA,,1.0,3.0,
32,CA,,,2.0,
33,CA,,,2.0,
34,CA,,1.0,,
35,CA,,,2.0,
36,CA,,,4.0,
37,CA,,,2.0,
38,CA,,,3.0,
39,CA,,,1.0,
40,CA,,,4.0,
41,CA,,,,
42,CA,,,,
43,CA,,,1.0,
44,CA,,,3.0,Tesla
45,CA,,,,
46,CA,,,2.0,
47,CA,,,3.0,
48,CA,,,1.0,
49,CA,,,2.0,
50,CA,,,2.0,
51,CA,,,4.0,
52,CA,,,4.0,
53,CA,,,2.0,
54,CA,,,16.0,
55,CA,,,3.0,
56,CA,,,2.0,
57,CA,,,1.0,ChargePoint Network
58,CA,,,2.0,
59,CA,,,6.0,
60,CA,12.0,,1.0,Tesla
61,CA,,2.0,2.0,ChargePoint Network
62,CA,,,5.0,
63,CA,,,,
64,CA,,,4.0,
65,CA,,4.0,2.0,
66,CA,,,1.0,
67,CA,,,2.0,
68,CA,,,6.0,Tesla
69,CA,,,1.0,
70,CA,,,2.0,
71,CA,,,2.0,
72,CA,,,1.0,
73,CA,,,3.0,
74,CA,,,3.0,
75,CA,,1.0,3.0,
76,CA,,1.0,1.0,
77,CA,,,5.0,
78,CA,,,2.0,
79,CA,,4.0,20.0,
80,CA,,1.0,2.0,
81,CA,,,1.0,
82,CA,,,2.0,
83,CA,,,2.0,
84,CA,,,1.0,
85,CA,,,3.0,
86,CA,,,3.0,Tesla
87,CA,,,1.0,
88,CA,,,1.0,
89,CA,,,3.0,
90,CA,,1.0,,
91,CA,,,2.0,
92,CA,,,2.0,
93,CA,,,1.0,
94,CA,,,1.0,
95,VT,,2.0,,
96,CA,,1.0,1.0,
97,CA,,,2.0,
98,CA,,,3.0,
99,CA,,,,
100,CA,,,10.0,
101,CA,,,2.0,
102,CA,,,20.0,
103,CA,,,2.0,ChargePoint Network
104,CA,,,12.0,ChargePoint Network
105,WA,,1.0,,
106,IL,,,2.0,
107,OR,,,2.0,Tesla
108,OR,,2.0,1.0,
109,OR,,1.0,1.0,
110,CA,,1.0,,
111,CA,,,1.0,
112,CA,,1.0,1.0,
113,CA,,,3.0,
114,CA,,,1.0,
115,CA,,,2.0,
116,CA,,2.0,4.0,
117,CA,,,1.0,
118,CA,,,2.0,
119,CA,,,,
120,CA,,,2.0,
121,CA,,,2.0,SemaCharge Network
122,CA,,,2.0,
123,CA,,,1.0,
124,CA,,,2.0,
125,CA,,,2.0,ChargePoint Network
126,CA,,,2.0,
127,WA,,36.0,,
128,CA,,,20.0,ChargePoint Network
129,IL,,,4.0,
130,ID,,,2.0,
131,TX,,2.0,,
132,OR,,4.0,,
133,NC,,,2.0,
134,OR,,4.0,,
135,OR,,,2.0,Tesla
136,CA,,,2.0,ChargePoint Network
137,CA,,,,
138,CA,,1.0,1.0,ChargePoint Network
139,FL,,1.0,,ChargePoint Network
140,NC,,1.0,1.0,ChargePoint Network
141,TN,,2.0,8.0,ChargePoint Network
142,VA,,4.0,,
143,OR,,1.0,3.0,ChargePoint Network
144,IA,,2.0,2.0,ChargePoint Network
145,FL,1.0,1.0,2.0,ChargePoint Network
146,WI,,,2.0,ChargePoint Network
147,WA,,2.0,,
148,CA,,,1.0,
149,HI,,,,
150,MI,,2.0,2.0,ChargePoint Network
151,OR,,,6.0,ChargePoint Network
152,OR,,1.0,1.0,ChargePoint Network
153,TX,,5.0,,ChargePoint Network
154,TX,,1.0,,ChargePoint Network
155,CA,,,2.0,
156,CA,,,4.0,
157,WA,,1.0,2.0,
158,WA,,,1.0,
159,OR,,1.0,,
160,IA,,,1.0,
161,IA,,,1.0,
162,MN,,1.0,,
163,CA,,,1.0,
164,FL,,1.0,1.0,ChargePoint Network
165,FL,,,1.0,ChargePoint Network
166,TX,,1.0,1.0,ChargePoint Network
167,AZ,,1.0,1.0,ChargePoint Network
168,CA,,,6.0,ChargePoint Network
169,CA,,1.0,1.0,ChargePoint Network
170,CO,,1.0,1.0,ChargePoint Network
171,CO,,4.0,,
