,State,DC Fast Charge,Level 1,Level 2,EV Network
172,CT,,2.0,,
173,IL,,1.0,,ChargePoint Network
174,MD,,1.0,,ChargePoint Network
175,NC,,2.0,,ChargePoint Network
176,NJ,,,1.0,
177,OR,,10.0,10.0,
178,RI,,1.0,1.0,ChargePoint Network
179,TX,,1.0,3.0,ChargePoint Network
180,TX,,1.0,1.0,ChargePoint Network
181,TX,,1.0,,ChargePoint Network
182,WA,,1.0,1.0,ChargePoint Network
183,WA,,1.0,1.0,ChargePoint Network
184,WA,,2.0,2.0,ChargePoint Network
185,NY,,1.0,,
186,CA,,,1.0,
187,IL,,2.0,2.0,ChargePoint Network
188,IL,,,4.0,ChargePoint Network
189,IL,,,2.0,ChargePoint Network
190,IL,,2.0,2.0,ChargePoint Network
191,IL,,1.0,1.0,ChargePoint Network
192,IL,,2.0,2.0,ChargePoint Network
193,SC,,,2.0,
194,SC,,,2.0,
195,SC,,,2.0,
196,CT,,,2.0,
197,CT,,2.0,2.0,
198,CT,,,3.0,
199,CT,,,3.0,
200,CT,,,2.0,
201,CT,,8.0,4.0,
202,CT,,,4.0,
203,CT,,1.0,1.0,
204,CT,,,3.0,
205,FL,,,4.0,
206,MI,,2.0,2.0,ChargePoint Network
207,MI,,2.0,2.0,ChargePoint Network
208,MI,,1.0,1.0,ChargePoint Network
209,MI,,3.0,5.0,ChargePoint Network
210,MI,,1.0,1.0,ChargePoint Network
211,NY,,1.0,2.0,ChargePoint Network
212,VA,,1.0,1.0,ChargePoint Network
213,WI,,,2.0,ChargePoint Network
214,WI,,,2.0,ChargePoint Network
215,SC,,1.0,1.0,
216,OH,,,1.0,
217,WV,,,1.0,
218,FL,,,2.0,ChargePoint Network
219,FL,,,2.0,ChargePoint Network
220,FL,,,2.0,ChargePoint Network
221,FL,,,2.0,ChargePoint Network
222,FL,,,2.0,ChargePoint Network
223,FL,,1.0,3.0,ChargePoint Network
224,IL,,2.0,2.0,ChargePoint Network
225,MO,,,1.0,
226,NY,,1.0,1.0,ChargePoint Network
227,OR,,2.0,2.0,ChargePoint Network
228,OR,,13.0,13.0,ChargePoint Network
229,TX,,1.0,1.0,ChargePoint Network
230,WA,,,2.0,ChargePoint Network
231,CA,,,10.0,ChargePoint Network
232,FL,,1.0,1.0,ChargePoint Network
233,CA,,2.0,2.0,Tesla
234,OR,,4.0,,
235,UT,,,4.0,
236,UT,,2.0,1.0,
237,WA,,1.0,,
238,WA,,1.0,,
239,WA,,1.0,,
240,WA,,1.0,,
241,WA,,1.0,,
242,KS,,2.0,2.0,ChargePoint Network
243,MI,,1.0,1.0,ChargePoint Network
244,MO,,1.0,1.0,ChargePoint Network
245,MI,,4.0,4.0,ChargePoint Network
246,MI,,1.0,1.0,ChargePoint Network
247,MO,,1.0,1.0,ChargePoint Network
248,MO,,1.0,1.0,ChargePoint Network
249,MA,,,1.0,
250,FL,,,3.0,
251,WA,,4.0,7.0,ChargePoint Network
252,WA,,12.0,,
253,CT,,,2.0,
254,CT,,,3.0,Tesla
255,MA,,,2.0,
256,WA,,3.0,,
257,WA,,5.0,,
258,MA,,,16.0,ChargePoint Network
259,SC,,,10.0,
260,SC,,,2.0,
261,SC,,,2.0,
262,SC,,,2.0,
263,SC,,,2.0,
264,SC,,,4.0,
265,SC,,,2.0,
266,SC,,,2.0,
267,SC,,,2.0,
268,SC,,,2.0,
269,SC,,,2.0,
270,SC,1.0,,2.0,
271,SC,,,2.0,
272,SC,,,2.0,
273,SC,,,2.0,
274,SC,,,2.0,
275,CA,,,12.0,
276,TX,,,1.0,
277,KS,,,2.0,
278,CA,,,3.0,
279,CA,,,7.0,
280,CA,,,1.0,
281,CA,,,5.0,
282,CA,1.0,,14.0,
283,CO,1.0,18.0,9.0,
284,CO,,,2.0,
285,MA,,1.0,1.0,
286,NC,,,2.0,
287,NM,,1.0,1.0,ChargePoint Network
288,NY,,1.0,1.0,ChargePoint Network
289,MI,,,1.0,
290,FL,,,2.0,ChargePoint Network
291,IN,,,3.0,
292,MI,,,1.0,
293,FL,,1.0,1.0,ChargePoint Network
294,FL,,1.0,1.0,ChargePoint Network
295,FL,,1.0,1.0,ChargePoint Network
296,FL,,1.0,1.0,ChargePoint Network
297,FL,,2.0,2.0,ChargePoint Network
298,FL,,1.0,1.0,ChargePoint Network
299,FL,,1.0,1.0,ChargePoint Network
300,NC,,,1.0,ChargePoint Network
301,NJ,,1.0,1.0,ChargePoint Network
302,NJ,,1.0,1.0,ChargePoint Network
303,NJ,,1.0,1.0,ChargePoint Network
304,NJ,,1.0,1.0,ChargePoint Network
305,NV,,,1.0,ChargePoint Network
306,IA,,1.0,1.0,ChargePoint Network
307,IL,,2.0,2.0,ChargePoint Network
308,IL,,,4.0,
309,IL,,,3.0,
310,KS,,1.0,1.0,ChargePoint Network
311,LA,,1.0,1.0,ChargePoint Network
312,MD,,1.0,1.0,ChargePoint Network
313,MD,,3.0,3.0,ChargePoint Network
314,MD,,3.0,3.0,ChargePoint Network
315,MD,,1.0,1.0,ChargePoint Network
316,MI,,2.0,2.0,ChargePoint Network
317,MI,,1.0,1.0,ChargePoint Network
318,MI,,1.0,1.0,ChargePoint Network
319,MI,,1.0,1.0,ChargePoint Network
320,MI,,1.0,1.0,ChargePoint Network
321,MN,,1.0,1.0,ChargePoint Network
322,NC,,,3.0,ChargePoint Network
323,NC,,,3.0,ChargePoint Network
324,CA,,1.0,2.0,ChargePoint Network
325,CA,,1.0,6.0,ChargePoint Network
326,CA,,,8.0,ChargePoint Network
327,CA,,,15.0,ChargePoint Network
328,CA,,2.0,2.0,ChargePoint Network
329,CA,,8.0,8.0,ChargePoint Network
330,CA,,1.0,29.0,ChargePoint Network
331,CA,,3.0,3.0,ChargePoint Network
332,FL,,,4.0,ChargePoint Network
333,FL,,1.0,1.0,ChargePoint Network
334,FL,,1.0,1.0,ChargePoint Network
335,FL,,1.0,1.0,ChargePoint Network
336,WA,,,4.0,ChargePoint Network
337,WA,,1.0,1.0,ChargePoint Network
338,WA,,3.0,3.0,ChargePoint Network
339,WA,,,2.0,ChargePoint Network
340,WA,,5.0,5.0,ChargePoint Network
341,WA,,3.0,3.0,ChargePoint Network
342,WA,,2.0,2.0,ChargePoint Network
343,WA,,,2.0,ChargePoint Network
344,WA,,1.0,1.0,ChargePoint Network
345,WA,,2.0,2.0,ChargePoint Network
346,WI,,1.0,1.0,ChargePoint Network
347,NY,1.0,1.0,1.0,ChargePoint Network
348,TX,,2.0,2.0,ChargePoint Network
349,TX,,2.0,2.0,ChargePoint Network
350,TX,,1.0,1.0,ChargePoint Network
351,WI,,1.0,1.0,ChargePoint Network
352,NC,,,2.0,
353,NC,,,1.0,
354,TX,1.0,,2.0,
355,CA,1.0,,,ChargePoint Network
356,CA,,,3.0,Tesla
357,VA,,,2.0,Tesla
358,VA,,,2.0,
359,MN,,1.0,,
360,MN,,1.0,,
361,MN,,1.0,,
362,MN,,1.0,,
363,MN,,1.0,,
364,MN,,1.0,,
365,TN,,,1.0,
366,TN,,,1.0,
367,TN,,,1.0,
368,TX,,,1.0,
369,TX,,,1.0,
370,TX,,,1.0,
371,TX,1.0,,2.0,
372,TX,,,1.0,
373,TX,,,1.0,
374,TX,,,1.0,
375,TX,,,1.0,
376,TX,,,1.0,
377,TX,,,1.0,
378,TX,,,1.0,
379,TX,,,1.0,
380,TX,,,1.0,
381,TX,1.0,,1.0,
382,TX,,,1.0,
383,TX,,,1.0,
384,TX,1.0,,1.0,
385,TX,1.0,,1.0,
386,TX,1.0,,1.0,
387,TX,,,1.0,
388,TX,1.0,,1.0,
389,TX,,,1.0,
390,TX,,,1.0,
391,TX,,,1.0,
392,TX,,,1.0,
393,TX,,,1.0,
394,TX,,,1.0,
395,TX,,,1.0,
396,TX,1.0,,1.0,
397,TX,,,1.0,
398,TX,,,1.0,
399,TX,1.0,,1.0,
400,TX,,,1.0,
401,TX,,,1.0,
402,TX,,,1.0,
403,TX,2.0,,1.0,
404,TX,,,1.0,
405,TX,,,1.0,
406,TX,,,1.0,
407,TX,,,1.0,
408,TX,,,1.0,
409,TX,,,1.0,
410,TX,,,1.0,
411,TX,,,1.0,
412,TX,,,1.0,
413,TX,1.0,,1.0,
414,TX,1.0,,1.0,
415,TX,,,1.0,
416,TX,,,1.0,
417,TX,,,1.0,
418,TX,,,1.0,
419,TX,,,1.0,
420,VA,1.0,,1.0,
421,VA,1.0,,1.0,
422,VA,1.0,,1.0,
423,VA,,,1.0,
424,VA,1.0,,1.0,
425,VA,,,1.0,
426,VA,,4.0,,
427,VA,,,4.0,ChargePoint Network
428,VA,1.0,,1.0,
429,VA,2.0,,1.0,
430,VA,,,2.0,
431,VA,1.0,,3.0,
432,WA,2.0,,1.0,
433,WA,,,1.0,
434,WA,1.0,,1.0,
435,WA,,,2.0,
436,WA,,,2.0,
437,WA,2.0,,1.0,
438,WA,,,1.0,
439,WA,,,1.0,
440,WA,2.0,,1.0,
441,WA,1.0,,1.0,
442,WA,,1.0,1.0,ChargePoint Network
443,WA,1.0,,1.0,
444,WA,,,2.0,
445,WA,2.0,,1.0,
446,WA,,,1.0,
447,WA,,,1.0,
448,WA,,,1.0,
449,TN,1.0,,1.0,
450,TN,1.0,,1.0,
451,TN,,,1.0,
452,TN,,,1.0,
453,TN,,,1.0,
454,TN,1.0,,1.0,
455,TN,1.0,,1.0,
456,TN,,,1.0,
457,TN,,,1.0,
458,TN,,,1.0,
459,TN,,,1.0,
460,TN,1.0,,1.0,
461,TN,,,1.0,
462,TN,,,1.0,
463,TN,,,1.0,
464,TN,1.0,,1.0,
465,TN,,,1.0,
466,TN,1.0,,1.0,
467,TN,1.0,,1.0,
468,TN,1.0,,1.0,
469,OR,,,1.0,
470,OR,2.0,,1.0,
471,OR,,,1.0,
472,OR,,,1.0,
473,OR,,,1.0,
474,OR,,,1.0,
475,OR,,,1.0,
476,OR,,,1.0,
477,OR,,,1.0,
478,OR,,,1.0,
479,OR,2.0,,1.0,
480,OR,,,2.0,
481,SC,1.0,,1.0,
482,SC,1.0,,1.0,
483,TN,,,1.0,
484,TN,1.0,,1.0,
485,TN,,,1.0,
486,TN,,,1.0,
487,AL,1.0,,4.0,
488,AL,,,1.0,
489,AL,1.0,,1.0,
490,AL,1.0,,1.0,
491,AZ,,,1.0,
492,AZ,1.0,,2.0,
493,AZ,,,1.0,
494,AZ,,,1.0,
495,AZ,1.0,,2.0,
496,AZ,,,1.0,
497,AZ,1.0,,1.0,
498,AZ,,,1.0,
499,AZ,,,3.0,
500,AZ,1.0,,3.0,Greenlots
501,AZ,,,1.0,
502,AZ,1.0,,,
503,AZ,,,1.0,
504,CA,,,1.0,
505,CA,,,1.0,
506,CA,1.0,,1.0,
507,CA,,,3.0,
508,CA,,,2.0,
509,CA,,,1.0,
510,CA,,,1.0,
511,CA,,,3.0,
512,CA,1.0,,2.0,
513,CA,,,1.0,
514,CA,1.0,,1.0,
515,CA,,,1.0,
516,CA,1.0,,2.0,
517,CA,,,2.0,
518,CA,,,1.0,
519,CA,,,4.0,
520,CA,,,1.0,
521,CA,,,1.0,
522,CA,,,2.0,
523,CA,1.0,,4.0,
524,CA,,,1.0,
525,CA,,,1.0,
526,CA,,,3.0,
527,CA,,,2.0,
528,CA,,,2.0,
529,CA,,,1.0,
530,CA,1.0,,2.0,
531,CA,,,1.0,
532,CA,,,2.0,
533,CA,,,1.0,
534,CA,,,3.0,
535,CA,1.0,,2.0,
536,CA,,,1.0,
537,CA,1.0,,2.0,
538,CA,1.0,,2.0,
539,CA,1.0,,2.0,
540,CA,1.0,,1.0,
541,CA,,,2.0,
542,CA,,,1.0,
543,CA,,,1.0,
544,CA,,,1.0,
545,CA,1.0,,1.0,
546,CA,1.0,,3.0,
547,CA,,,1.0,
548,CA,,,1.0,
549,CA,1.0,,2.0,
550,CA,1.0,,2.0,
551,CA,,,1.0,
552,CA,,,2.0,
553,CA,,,4.0,
554,CA,1.0,,1.0,
555,CA,,,1.0,
556,CA,,,3.0,
557,CA,,,1.0,
558,CA,,,1.0,
559,CA,,,2.0,
560,CA,,,1.0,
561,CA,1.0,,1.0,
562,CA,1.0,,1.0,
563,CA,1.0,,1.0,
564,CA,1.0,,1.0,
565,CA,1.0,,1.0,
566,CA,,,2.0,
567,CA,,,1.0,
568,CA,1.0,,2.0,
569,CA,1.0,,2.0,
570,CA,1.0,,4.0,
571,CA,,,1.0,
572,CA,,,1.0,
573,CA,,,4.0,
574,CA,1.0,,2.0,
575,CA,,,1.0,
576,CA,,,1.0,
577,CA,,,2.0,
578,CA,1.0,,2.0,
579,CA,,,1.0,
580,CA,,,1.0,
581,CA,,,1.0,
582,CA,,,3.0,
583,CA,,,1.0,
584,CA,,,1.0,
585,CA,,,1.0,
586,CA,,,1.0,
587,FL,,,1.0,
588,FL,,,1.0,
589,FL,1.0,,1.0,
590,FL,1.0,,1.0,
591,FL,1.0,,1.0,
592,FL,,,1.0,
593,FL,1.0,,1.0,
594,FL,,,1.0,
595,FL,1.0,,1.0,
596,FL,1.0,,1.0,
597,FL,1.0,,1.0,
598,FL,,,1.0,
599,FL,,,1.0,
600,FL,1.0,,1.0,
601,FL,,,1.0,
602,FL,1.0,,1.0,
603,FL,,,1.0,
604,FL,,,1.0,
605,FL,,,1.0,
606,GA,1.0,,1.0,
607,GA,1.0,,1.0,
608,GA,1.0,,1.0,
609,GA,1.0,,1.0,
610,GA,1.0,,1.0,
611,GA,1.0,,1.0,
612,GA,,,1.0,
613,GA,1.0,,1.0,
614,GA,1.0,,1.0,
615,GA,,,1.0,
616,HI,1.0,,2.0,
617,HI,,,1.0,
618,HI,1.0,,1.0,
619,HI,1.0,,2.0,
620,MD,,,4.0,SemaCharge Network
621,MD,,,4.0,SemaCharge Network
622,MD,,,2.0,SemaCharge Network
623,MD,,,5.0,SemaCharge Network
624,MD,,1.0,,
625,MD,,,1.0,
626,MD,,,2.0,
627,MD,,,1.0,SemaCharge Network
628,MD,,,5.0,SemaCharge Network
629,MD,,,1.0,
630,MD,,,2.0,SemaCharge Network
631,MD,,5.0,5.0,ChargePoint Network
632,MD,,,1.0,
633,MD,,,1.0,
634,MD,,,1.0,SemaCharge Network
635,MD,,,1.0,SemaCharge Network
636,MD,1.0,,1.0,
637,MD,,,2.0,SemaCharge Network
638,MD,,,1.0,SemaCharge Network
639,MD,,,2.0,SemaCharge Network
640,MD,,1.0,5.0,ChargePoint Network
641,MN,,1.0,1.0,ChargePoint Network
642,MN,,2.0,2.0,ChargePoint Network
643,MN,,4.0,4.0,
644,MN,,2.0,2.0,
645,MN,,1.0,1.0,ChargePoint Network
646,MN,,2.0,2.0,ChargePoint Network
647,MN,,2.0,2.0,ChargePoint Network
648,MN,,2.0,4.0,ChargePoint Network
649,MN,,1.0,1.0,ChargePoint Network
650,MN,,2.0,2.0,
651,NC,1.0,,1.0,
652,NC,1.0,,1.0,
653,NC,,,1.0,
654,NC,,,1.0,
655,CA,,,2.0,
656,SC,,,2.0,
657,VA,,,1.0,
658,NJ,,2.0,2.0,ChargePoint Network
659,NV,,,4.0,ChargePoint Network
660,TX,,3.0,3.0,ChargePoint Network
661,TX,,,4.0,ChargePoint Network
662,TX,,3.0,3.0,ChargePoint Network
663,TX,,1.0,1.0,ChargePoint Network
664,VA,,,2.0,
665,VA,,5.0,5.0,ChargePoint Network
666,VA,1.0,,2.0,
667,WA,,,6.0,ChargePoint Network
668,WA,,3.0,3.0,ChargePoint Network
669,WI,,1.0,1.0,ChargePoint Network
670,WI,,1.0,3.0,ChargePoint Network
671,CA,,,12.0,ChargePoint Network
672,CA,,1.0,9.0,ChargePoint Network
673,CA,,1.0,9.0,ChargePoint Network
674,CA,,1.0,9.0,ChargePoint Network
675,CA,,,2.0,ChargePoint Network
676,CA,,1.0,1.0,ChargePoint Network
677,CA,,1.0,1.0,ChargePoint Network
678,CA,,1.0,1.0,
679,CA,,2.0,2.0,ChargePoint Network
680,CT,,1.0,1.0,ChargePoint Network
681,FL,,2.0,2.0,ChargePoint Network
682,FL,,1.0,1.0,ChargePoint Network
683,FL,,1.0,1.0,ChargePoint Network
684,FL,,1.0,1.0,ChargePoint Network
685,FL,,,1.0,
686,MI,,1.0,1.0,ChargePoint Network
687,MI,,1.0,1.0,ChargePoint Network
688,MI,,1.0,1.0,ChargePoint Network
689,MI,,1.0,1.0,ChargePoint Network
690,MI,,1.0,1.0,ChargePoint Network
691,MI,,1.0,1.0,ChargePoint Network
692,MI,,1.0,3.0,ChargePoint Network
693,MI,,1.0,1.0,ChargePoint Network
694,MI,,2.0,2.0,ChargePoint Network
695,MI,,1.0,1.0,ChargePoint Network
696,MI,,1.0,1.0,ChargePoint Network
697,MI,,1.0,1.0,ChargePoint Network
698,MI,,1.0,1.0,ChargePoint Network
699,MI,,1.0,1.0,ChargePoint Network
700,MN,,1.0,1.0,
701,MO,,1.0,1.0,ChargePoint Network
702,SC,,,1.0,
703,VA,,,1.0,
704,SC,,,2.0,
705,SC,,,1.0,
706,CT,,,1.0,
707,DC,,1.0,1.0,
708,FL,,,2.0,
709,MI,,,1.0,
710,MI,,,2.0,
711,MI,,,24.0,
712,MI,,2.0,2.0,ChargePoint Network
713,MI,,,2.0,
714,MI,,,1.0,
715,MI,,,2.0,
716,MI,,,1.0,
717,OH,,,2.0,
718,MI,,,4.0,Tesla
719,MD,,2.0,,
720,NY,,2.0,2.0,
721,VA,,,3.0,
722,MI,,,4.0,
723,NC,,1.0,1.0,
724,NC,,1.0,2.0,
725,MD,,,2.0,SemaCharge Network
726,NC,,1.0,1.0,
727,NC,,1.0,1.0,
728,OR,,2.0,3.0,
729,VA,,,1.0,SemaCharge Network
730,WA,,,8.0,
731,OR,,1.0,1.0,
732,OR,,1.0,1.0,
733,GA,,6.0,6.0,
734,HI,,,1.0,
735,IL,,,2.0,
736,IL,,,2.0,ChargePoint Network
737,IL,,,1.0,ChargePoint Network
738,IL,,,1.0,ChargePoint Network
739,IL,,,1.0,ChargePoint Network
740,IL,,,1.0,ChargePoint Network
741,MD,,,2.0,SemaCharge Network
742,MD,,,2.0,SemaCharge Network
743,NH,,2.0,2.0,ChargePoint Network
744,TN,,1.0,1.0,ChargePoint Network
745,NC,,,2.0,
746,OR,,1.0,1.0,ChargePoint Network
747,OR,,1.0,1.0,ChargePoint Network
748,SC,,,1.0,ChargePoint Network
749,AR,,,1.0,
750,AR,,1.0,1.0,ChargePoint Network
751,AR,,1.0,1.0,ChargePoint Network
752,FL,,1.0,1.0,ChargePoint Network
753,FL,,,2.0,ChargePoint Network
754,FL,,,2.0,ChargePoint Network
755,FL,,2.0,2.0,ChargePoint Network
756,FL,,,2.0,ChargePoint Network
757,FL,,,2.0,ChargePoint Network
758,FL,,,2.0,ChargePoint Network
759,FL,,2.0,2.0,ChargePoint Network
760,FL,,1.0,1.0,ChargePoint Network
761,FL,,1.0,1.0,ChargePoint Network
762,FL,,1.0,1.0,ChargePoint Network
763,FL,,1.0,1.0,ChargePoint Network
764,IA,,,1.0,
765,IA,,,1.0,
766,IA,,,1.0,
767,IL,,1.0,1.0,ChargePoint Network
768,IL,,1.0,1.0,ChargePoint Network
769,KS,,2.0,2.0,ChargePoint Network
770,MD,,1.0,1.0,ChargePoint Network
771,MD,,1.0,1.0,ChargePoint Network
772,MD,,1.0,1.0,ChargePoint Network
773,MI,,,1.0,ChargePoint Network
774,MI,,1.0,1.0,ChargePoint Network
775,MI,,1.0,1.0,ChargePoint Network
776,MI,,1.0,1.0,
777,MI,,1.0,1.0,ChargePoint Network
778,MI,,1.0,1.0,ChargePoint Network
779,MI,,1.0,1.0,ChargePoint Network
780,MI,,1.0,1.0,ChargePoint Network
781,MI,,1.0,1.0,ChargePoint Network
782,MI,,1.0,1.0,ChargePoint Network
783,MI,,1.0,1.0,
784,MI,,1.0,1.0,ChargePoint Network
785,MI,,1.0,1.0,ChargePoint Network
786,MI,,,1.0,ChargePoint Network
787,MI,,2.0,2.0,ChargePoint Network
788,MI,,1.0,1.0,ChargePoint Network
789,MI,,1.0,1.0,ChargePoint Network
790,MN,,1.0,1.0,ChargePoint Network
791,OR,,,2.0,
792,VA,,,1.0,
793,SC,,,1.0,
794,SC,,,1.0,ChargePoint Network
795,SC,,,1.0,
796,MA,,,2.0,
797,CA,,2.0,2.0,ChargePoint Network
798,CA,,2.0,8.0,ChargePoint Network
799,MD,,,2.0,SemaCharge Network
800,MD,,,2.0,SemaCharge Network
801,MD,,,5.0,SemaCharge Network
802,MD,,,1.0,SemaCharge Network
803,NJ,,1.0,1.0,ChargePoint Network
804,NV,,,13.0,ChargePoint Network
805,NY,,1.0,1.0,ChargePoint Network
806,NY,,1.0,1.0,ChargePoint Network
807,NY,,1.0,1.0,ChargePoint Network
808,NY,,1.0,1.0,ChargePoint Network
809,NY,,1.0,1.0,ChargePoint Network
810,NY,,1.0,1.0,ChargePoint Network
811,NY,,,2.0,ChargePoint Network
812,NY,,1.0,1.0,ChargePoint Network
813,SC,,,3.0,
814,TX,,2.0,2.0,ChargePoint Network
815,TX,,2.0,2.0,ChargePoint Network
816,TX,,2.0,2.0,ChargePoint Network
817,TX,,2.0,2.0,ChargePoint Network
818,TX,,1.0,1.0,ChargePoint Network
819,TX,,2.0,2.0,ChargePoint Network
820,TX,,2.0,2.0,ChargePoint Network
821,TX,,1.0,1.0,ChargePoint Network
822,TX,,1.0,1.0,ChargePoint Network
823,TX,,1.0,1.0,ChargePoint Network
824,VA,,2.0,2.0,ChargePoint Network
825,WA,,1.0,1.0,ChargePoint Network
826,WA,,1.0,1.0,ChargePoint Network
827,WA,,2.0,2.0,ChargePoint Network
828,WA,,,6.0,ChargePoint Network
829,CA,,,2.0,ChargePoint Network
830,CA,,1.0,3.0,ChargePoint Network
831,CA,,,2.0,ChargePoint Network
832,CA,,2.0,2.0,ChargePoint Network
833,CA,,,2.0,ChargePoint Network
834,CA,,,8.0,ChargePoint Network
835,CA,,1.0,3.0,ChargePoint Network
836,CA,,,6.0,ChargePoint Network
837,CA,,,2.0,ChargePoint Network
838,CA,,2.0,2.0,ChargePoint Network
839,CA,,1.0,1.0,ChargePoint Network
840,CA,,1.0,1.0,ChargePoint Network
841,CA,,2.0,2.0,
842,VA,,,1.0,
843,CA,,,4.0,ChargePoint Network
844,IL,,,1.0,ChargePoint Network
845,IL,,,2.0,ChargePoint Network
846,IL,,,2.0,ChargePoint Network
847,TN,,,6.0,
848,WI,,1.0,2.0,ChargePoint Network
849,WI,,2.0,2.0,ChargePoint Network
850,WI,,1.0,1.0,ChargePoint Network
851,WI,,2.0,2.0,ChargePoint Network
852,WI,,2.0,2.0,ChargePoint Network
853,CA,,,4.0,
854,IL,,,2.0,ChargePoint Network
855,NC,,1.0,2.0,
856,WA,,,2.0,
857,VA,,,2.0,
858,CA,,,1.0,
859,CA,,,6.0,ChargePoint Network
860,NY,,,15.0,ChargePoint Network
861,NY,,,2.0,ChargePoint Network
