,State,DC Fast Charge,Level 1,Level 2,EV Network
214,NY,,1.0,2.0,ChargePoint Network
215,VA,,1.0,1.0,ChargePoint Network
216,WI,,,2.0,ChargePoint Network
217,WI,,,2.0,ChargePoint Network
218,GA,,,2.0,Greenlots
219,SC,,1.0,1.0,
220,OH,,,1.0,
221,WV,,,1.0,
222,FL,,,2.0,ChargePoint Network
223,FL,,,2.0,ChargePoint Network
224,FL,,,2.0,ChargePoint Network
225,FL,,,2.0,ChargePoint Network
226,FL,,,2.0,ChargePoint Network
227,FL,,1.0,3.0,ChargePoint Network
228,IL,,2.0,2.0,ChargePoint Network
229,MO,,,1.0,
230,NY,,1.0,1.0,ChargePoint Network
231,OR,,2.0,2.0,ChargePoint Network
232,OR,,13.0,13.0,ChargePoint Network
233,TX,,1.0,1.0,ChargePoint Network
234,WA,,,2.0,ChargePoint Network
235,CA,,,10.0,ChargePoint Network
236,FL,,1.0,1.0,ChargePoint Network
237,CA,,2.0,2.0,Tesla
238,OR,,4.0,,
239,UT,,,4.0,
240,UT,,2.0,1.0,
241,WA,,1.0,,
242,WA,,1.0,,
243,WA,,1.0,,
244,WA,,1.0,,
245,WA,,1.0,,
246,KS,,2.0,2.0,ChargePoint Network
247,MI,,1.0,1.0,ChargePoint Network
248,MO,,1.0,1.0,ChargePoint Network
249,MI,,4.0,4.0,ChargePoint Network
250,MI,,1.0,1.0,ChargePoint Network
251,MO,,1.0,1.0,ChargePoint Network
252,MO,,1.0,1.0,ChargePoint Network
253,MA,,,1.0,
254,FL,,,3.0,
255,WA,,4.0,7.0,ChargePoint Network
256,WA,,12.0,,
257,CT,,,2.0,
258,CT,,,3.0,Tesla
259,MA,,,2.0,
260,OH,2.0,,,Greenlots
261,WA,,3.0,,
262,WA,,5.0,,
263,MA,,,16.0,ChargePoint Network
264,SC,,,10.0,
265,SC,,,2.0,
266,SC,,,2.0,
267,SC,,,2.0,
268,SC,,,2.0,
269,SC,,,4.0,
270,SC,,,2.0,
271,SC,,,2.0,
272,SC,,,2.0,
273,SC,,,2.0,
274,SC,,,2.0,
275,SC,1.0,,2.0,
276,SC,,,2.0,
277,SC,,,2.0,
278,SC,,,2.0,
279,SC,,,2.0,
280,CA,,,12.0,
281,TX,,,1.0,
282,KS,,,2.0,
283,CA,,,3.0,
284,CA,,,7.0,
285,CA,,,1.0,
286,CA,,,5.0,
287,CA,1.0,,14.0,
288,CO,1.0,18.0,9.0,
289,CO,,,2.0,
290,MA,,1.0,1.0,
291,NC,,,2.0,
292,NM,,1.0,1.0,ChargePoint Network
293,NY,,1.0,1.0,ChargePoint Network
294,MI,,,1.0,
295,FL,,,2.0,ChargePoint Network
296,IN,,,3.0,
297,MI,,,1.0,
298,FL,,1.0,1.0,ChargePoint Network
299,FL,,1.0,1.0,ChargePoint Network
300,FL,,1.0,1.0,ChargePoint Network
301,FL,,1.0,1.0,ChargePoint Network
302,FL,,2.0,2.0,ChargePoint Network
303,FL,,1.0,1.0,ChargePoint Network
304,FL,,1.0,1.0,ChargePoint Network
305,NC,,,1.0,ChargePoint Network
306,NJ,,1.0,1.0,ChargePoint Network
307,NJ,,1.0,1.0,ChargePoint Network
308,NJ,,1.0,1.0,ChargePoint Network
309,NJ,,1.0,1.0,ChargePoint Network
310,NV,,,1.0,ChargePoint Network
311,IA,,1.0,1.0,ChargePoint Network
312,IL,,2.0,2.0,ChargePoint Network
313,IL,,,4.0,
314,IL,,,3.0,
315,KS,,1.0,1.0,ChargePoint Network
316,LA,,1.0,1.0,ChargePoint Network
317,MD,,1.0,1.0,ChargePoint Network
318,MD,,3.0,3.0,ChargePoint Network
319,MD,,3.0,3.0,ChargePoint Network
320,MD,,1.0,1.0,ChargePoint Network
321,MI,,2.0,2.0,ChargePoint Network
322,MI,,1.0,1.0,ChargePoint Network
323,MI,,1.0,1.0,ChargePoint Network
324,MI,,1.0,1.0,ChargePoint Network
325,MI,,1.0,1.0,ChargePoint Network
326,MN,,1.0,1.0,ChargePoint Network
327,NC,,,3.0,ChargePoint Network
328,NC,,,3.0,ChargePoint Network
329,CA,,1.0,2.0,ChargePoint Network
330,CA,,1.0,6.0,ChargePoint Network
331,CA,,,8.0,ChargePoint Network
332,CA,,,15.0,ChargePoint Network
333,CA,,2.0,2.0,ChargePoint Network
334,CA,,8.0,8.0,ChargePoint Network
335,CA,,1.0,29.0,ChargePoint Network
336,CA,,3.0,3.0,ChargePoint Network
337,FL,,,4.0,ChargePoint Network
338,FL,,1.0,1.0,ChargePoint Network
339,FL,,1.0,1.0,ChargePoint Network
340,FL,,1.0,1.0,ChargePoint Network
341,WA,,,4.0,ChargePoint Network
342,WA,,1.0,1.0,ChargePoint Network
343,WA,,3.0,3.0,ChargePoint Network
344,WA,,,2.0,ChargePoint Network
345,WA,,5.0,5.0,ChargePoint Network
346,WA,,3.0,3.0,ChargePoint Network
347,WA,,2.0,2.0,ChargePoint Network
348,WA,,,2.0,ChargePoint Network
349,WA,,1.0,1.0,ChargePoint Network
350,WA,,2.0,2.0,ChargePoint Network
351,WI,,1.0,1.0,ChargePoint Network
352,NY,1.0,1.0,1.0,ChargePoint Network
353,TX,,2.0,2.0,ChargePoint Network
354,TX,,2.0,2.0,ChargePoint Network
355,TX,,1.0,1.0,ChargePoint Network
356,WI,,1.0,1.0,ChargePoint Network
357,NC,,,2.0,
358,NC,,,1.0,
359,TX,1.0,,2.0,
360,CA,1.0,,,ChargePoint Network
361,CA,,,3.0,Tesla
362,VA,,,2.0,Tesla
363,VA,,,2.0,
364,MN,,1.0,,
365,MN,,1.0,,
366,MN,,1.0,,
367,MN,,1.0,,
368,MN,,1.0,,
369,MN,,1.0,,
370,TN,,,1.0,
371,TN,,,1.0,
372,TN,,,1.0,
373,TX,,,1.0,
374,TX,,,1.0,
375,TX,,,1.0,
376,TX,1.0,,2.0,
377,TX,,,1.0,
378,TX,,,1.0,
379,TX,,,1.0,
380,TX,,,1.0,
381,TX,,,1.0,
382,TX,,,1.0,
383,TX,,,1.0,
384,TX,,,1.0,
385,TX,,,1.0,
386,TX,1.0,,1.0,
387,TX,,,1.0,
388,TX,,,1.0,
389,TX,1.0,,1.0,
390,TX,1.0,,1.0,
391,TX,1.0,,1.0,
392,TX,,,1.0,
393,TX,1.0,,1.0,
394,TX,,,1.0,
395,TX,,,1.0,
396,TX,,,1.0,
397,TX,,,1.0,
398,TX,,,1.0,
399,TX,,,1.0,
400,TX,,,1.0,
401,TX,1.0,,1.0,
402,TX,,,1.0,
403,TX,,,1.0,
404,TX,1.0,,1.0,
405,TX,,,1.0,
406,TX,,,1.0,
407,TX,,,1.0,
408,TX,2.0,,1.0,
409,TX,,,1.0,
410,TX,,,1.0,
411,TX,,,1.0,
